Lat,Lon,Name,Borough,Ride.Count
40.7223,-74.003,PERFORMING GARAGE,1.0,3396
40.7512,-73.9375,ACADEMY OF AMERICAN STUDIES HIGH SCHOOL,4.0,3396
40.7463,-73.9907,HYATT HOUSE HOTEL NY CHELSEA,1.0,3394
40.7538,-73.9803,CHABAD LUBAVITCH OF MIDTOWN,1.0,3375
40.7076,-74.0059,PECK SLIP RETAIL POST OFFICE,1.0,3373
40.7172,-74.0094,DUANE PARK,1.0,3355
40.7634,-73.9804,LONDON HOTEL,1.0,3343
40.753,-73.9925,LIVING FOR THE YOUNG FAMILY THROUGH EDUCATION,1.0,3341
40.7362,-74.0028,MANHATTAN SEVEN DAY ADVENTIST CHURCH,1.0,3339
40.7697,-73.9611,TOWER EAST BUILDING,1.0,3339
40.7586,-73.9893,INTERCONTINENTAL HOTEL TIMES SQUARE,1.0,3338
40.7397,-73.9969,WINSTON PREPARATORY SCHOOL,1.0,3326
40.6909,-73.9612,PRATT INSTITUTE CANNONEER COURT,3.0,3304
40.723,-73.9965,FDNY OXYGEN THERAPY UNIT 1,1.0,3284
40.7471,-73.9939,FIT POMERANTZ ART & DESIGN CTR,1.0,3282
40.726,-73.9916,BOWERY HOTEL,1.0,3280
40.7599,-73.9912,FILM CENTER BUILDING,1.0,3254
40.7636,-73.9738,BERGDORF GOODMAN STORE,1.0,3248
40.7444,-73.9844,MOLDOVA MISSION TO THE UN,1.0,3240
40.6824,-73.9595,CO-OP SCHOOL PRESCHOOL,3.0,3230
40.7565,-73.9909,PORT AUTHORITY POLICE DESK,1.0,3229
40.7217,-73.9916,SARA D ROOSEVELT PARK,1.0,3225
40.7618,-73.9661,"CINEMA 1, 2  & 3 THEATRES",1.0,3225
40.7599,-73.9813,EXXON CO,1.0,3223
40.7499,-73.9938,PENN PLAZA 31 ST TAXI STAND,1.0,3221
40.7504,-73.9869,COURTYARD MARRIOTT HOTEL HERALD SQUARE,1.0,3220
40.7622,-73.9715,FOUR SEASONS HOTEL,1.0,3219
40.76,-73.9949,43 STREET KID PRESCHOOL,1.0,3219
